,missing_values,missing_percentage
timestamp_ccentral,0,0.0
turbidity_pnwa_mean_1_3,799,8.763847756937588
turbidity_pnwa_min_1_3,799,8.763847756937588
turbidity_pnwa_max_1_3,799,8.763847756937588
turbidity_pnwa_max_min_1_3,799,8.763847756937588
turbidity_pnwa_mean_4_6,802,8.796753317977405
turbidity_pnwa_min_4_6,802,8.796753317977405
turbidity_pnwa_max_4_6,802,8.796753317977405
turbidity_pnwa_max_min_4_6,802,8.796753317977405
turbidity_pnwa_mean_7_9,804,8.818690358670615
turbidity_pnwa_min_7_9,804,8.818690358670615
turbidity_pnwa_max_7_9,804,8.818690358670615
turbidity_pnwa_max_min_7_9,804,8.818690358670615
turbidity_pnwa_mean_10_12,807,8.85159591971043
turbidity_pnwa_min_10_12,807,8.85159591971043
turbidity_pnwa_max_10_12,807,8.85159591971043
turbidity_pnwa_max_min_10_12,807,8.85159591971043
turbidity_pnwa_mean_13_15,809,8.873532960403642
turbidity_pnwa_min_13_15,809,8.873532960403642
turbidity_pnwa_max_13_15,809,8.873532960403642
turbidity_pnwa_max_min_13_15,809,8.873532960403642
turbidity_pnwa_mean_load_1_3,799,8.763847756937588
turbidity_pnwa_min_load_1_3,799,8.763847756937588
turbidity_pnwa_max_load_1_3,799,8.763847756937588
turbidity_pnwa_max_min_load_1_3,799,8.763847756937588
turbidity_pnwa_mean_load_4_6,802,8.796753317977405
turbidity_pnwa_min_load_4_6,802,8.796753317977405
turbidity_pnwa_max_load_4_6,802,8.796753317977405
turbidity_pnwa_max_min_load_4_6,802,8.796753317977405
turbidity_pnwa_mean_load_7_9,804,8.818690358670615
turbidity_pnwa_min_load_7_9,804,8.818690358670615
turbidity_pnwa_max_load_7_9,804,8.818690358670615
turbidity_pnwa_max_min_load_7_9,804,8.818690358670615
turbidity_pnwa_mean_load_10_12,807,8.85159591971043
turbidity_pnwa_min_load_10_12,807,8.85159591971043
turbidity_pnwa_max_load_10_12,807,8.85159591971043
turbidity_pnwa_max_min_load_10_12,807,8.85159591971043
turbidity_pnwa_mean_load_13_15,809,8.873532960403642
turbidity_pnwa_min_load_13_15,809,8.873532960403642
turbidity_pnwa_max_load_13_15,809,8.873532960403642
turbidity_pnwa_max_min_load_13_15,809,8.873532960403642
turbidity_wmth_mean_1_3,3822,41.921684764725235
turbidity_wmth_min_1_3,3822,41.921684764725235
turbidity_wmth_max_1_3,3822,41.921684764725235
turbidity_wmth_max_min_1_3,3822,41.921684764725235
turbidity_wmth_mean_4_6,3825,41.954590325765054
turbidity_wmth_min_4_6,3825,41.954590325765054
turbidity_wmth_max_4_6,3825,41.954590325765054
turbidity_wmth_max_min_4_6,3825,41.954590325765054
turbidity_wmth_mean_7_9,3828,41.98749588680487
turbidity_wmth_min_7_9,3828,41.98749588680487
turbidity_wmth_max_7_9,3828,41.98749588680487
turbidity_wmth_max_min_7_9,3828,41.98749588680487
turbidity_wmth_mean_10_12,3831,42.020401447844684
turbidity_wmth_min_10_12,3831,42.020401447844684
turbidity_wmth_max_10_12,3831,42.020401447844684
turbidity_wmth_max_min_10_12,3831,42.020401447844684
turbidity_wmth_mean_13_15,3834,42.0533070088845
turbidity_wmth_min_13_15,3834,42.0533070088845
turbidity_wmth_max_13_15,3834,42.0533070088845
turbidity_wmth_max_min_13_15,3834,42.0533070088845
turbidity_wmth_mean_load_1_3,3822,41.921684764725235
turbidity_wmth_min_load_1_3,3822,41.921684764725235
turbidity_wmth_max_load_1_3,3822,41.921684764725235
turbidity_wmth_max_min_load_1_3,3822,41.921684764725235
turbidity_wmth_mean_load_4_6,3825,41.954590325765054
turbidity_wmth_min_load_4_6,3825,41.954590325765054
turbidity_wmth_max_load_4_6,3825,41.954590325765054
turbidity_wmth_max_min_load_4_6,3825,41.954590325765054
turbidity_wmth_mean_load_7_9,3828,41.98749588680487
turbidity_wmth_min_load_7_9,3828,41.98749588680487
turbidity_wmth_max_load_7_9,3828,41.98749588680487
turbidity_wmth_max_min_load_7_9,3828,41.98749588680487
turbidity_wmth_mean_load_10_12,3831,42.020401447844684
turbidity_wmth_min_load_10_12,3831,42.020401447844684
turbidity_wmth_max_load_10_12,3831,42.020401447844684
turbidity_wmth_max_min_load_10_12,3831,42.020401447844684
turbidity_wmth_mean_load_13_15,3834,42.0533070088845
turbidity_wmth_min_load_13_15,3834,42.0533070088845
turbidity_wmth_max_load_13_15,3834,42.0533070088845
turbidity_wmth_max_min_load_13_15,3834,42.0533070088845
dschrg_pnwa_mean_1_3,798,8.752879236590983
dschrg_pnwa_min_1_3,798,8.752879236590983
dschrgpnwa_max_1_3,798,8.752879236590983
dschrgpnwa_max_min_1_3,798,8.752879236590983
dschrg_pnwa_mean_4_6,801,8.7857847976308
dschrg_pnwa_min_4_6,801,8.7857847976308
dschrgpnwa_max_4_6,801,8.7857847976308
dschrgpnwa_max_min_4_6,801,8.7857847976308
dschrg_pnwa_mean_7_9,803,8.80772183832401
dschrg_pnwa_min_7_9,803,8.80772183832401
dschrgpnwa_max_7_9,803,8.80772183832401
dschrgpnwa_max_min_7_9,803,8.80772183832401
dschrg_pnwa_mean_10_12,806,8.840627399363827
dschrg_pnwa_min_10_12,806,8.840627399363827
dschrgpnwa_max_10_12,806,8.840627399363827
dschrgpnwa_max_min_10_12,806,8.840627399363827
dschrg_pnwa_mean_13_15,808,8.862564440057035
dschrg_pnwa_min_13_15,808,8.862564440057035
dschrgpnwa_max_13_15,808,8.862564440057035
dschrgpnwa_max_min_13_15,808,8.862564440057035
dschrg_wmth_mean_1_3,3822,41.921684764725235
dschrg_wmth_min_1_3,3822,41.921684764725235
dschrgwmth_max_1_3,3822,41.921684764725235
dschrgwmth_max_min_1_3,3822,41.921684764725235
dschrg_wmth_mean_4_6,3825,41.954590325765054
dschrg_wmth_min_4_6,3825,41.954590325765054
dschrgwmth_max_4_6,3825,41.954590325765054
dschrgwmth_max_min_4_6,3825,41.954590325765054
dschrg_wmth_mean_7_9,3828,41.98749588680487
dschrg_wmth_min_7_9,3828,41.98749588680487
dschrgwmth_max_7_9,3828,41.98749588680487
dschrgwmth_max_min_7_9,3828,41.98749588680487
dschrg_wmth_mean_10_12,3831,42.020401447844684
dschrg_wmth_min_10_12,3831,42.020401447844684
dschrgwmth_max_10_12,3831,42.020401447844684
dschrgwmth_max_min_10_12,3831,42.020401447844684
dschrg_wmth_mean_13_15,3834,42.0533070088845
dschrg_wmth_min_13_15,3834,42.0533070088845
dschrgwmth_max_13_15,3834,42.0533070088845
dschrgwmth_max_min_13_15,3834,42.0533070088845
